worker,t0,t1,bytes
cpu,27623.924310,27623.925265,22020096
cpu,27623.925265,27623.926243,22020096
cpu,27623.926243,27623.927207,22020096
cpu,27623.927207,27623.928183,22020096
cpu,27623.928183,27623.929138,22020096
cpu,27623.929138,27623.930097,22020096
cpu,27623.930097,27623.931074,22020096
cpu,27623.931074,27623.932041,22020096
cpu,27623.932041,27623.933002,22020096
cpu,27623.933003,27623.933959,22020096
cpu,27623.933959,27623.934915,22020096
cpu,27623.934915,27623.935878,22020096
cpu,27623.935878,27623.936849,22020096
cpu,27623.936849,27623.937817,22020096
cpu,27623.937817,27623.938773,22020096
cpu,27623.938773,27623.939736,22020096
cpu,27623.939736,27623.940751,22020096
cpu,27623.940751,27623.941740,22020096
cpu,27623.941740,27623.942735,22020096
cpu,27623.942736,27623.943712,22020096
cpu,27623.943712,27623.944714,22020096
cpu,27623.944714,27623.945665,22020096
cpu,27623.945665,27623.946624,22020096
cpu,27623.946624,27623.947583,22020096
cpu,27623.947584,27623.948559,22020096
cpu,27623.948559,27623.949512,22020096
cpu,27623.949512,27623.950469,22020096
cpu,27623.950469,27623.951432,22020096
cpu,27623.951432,27623.952430,22020096
cpu,27623.952430,27623.953395,22020096
cpu,27623.953396,27623.954357,22020096
cpu,27623.954357,27623.955320,22020096
cpu,27623.955320,27623.956297,22020096
cpu,27623.956297,27623.957252,22020096
cpu,27623.957252,27623.958212,22020096
cpu,27623.958212,27623.959169,22020096
cpu,27623.959169,27623.960154,22020096
cpu,27623.960154,27623.961134,22020096
cpu,27623.961134,27623.962096,22020096
cpu,27623.962096,27623.963051,22020096
cpu,27623.963052,27623.964022,22020096
cpu,27623.964022,27623.964989,22020096
cpu,27623.964989,27623.965943,22020096
cpu,27623.965943,27623.966902,22020096
cpu,27623.966902,27623.967864,22020096
cpu,27623.967864,27623.968836,22020096
cpu,27623.968837,27623.969792,22020096
cpu,27623.969792,27623.970756,22020096
cpu,27623.970756,27623.971716,22020096
cpu,27623.971716,27623.972683,22020096
cpu,27623.972683,27623.973640,22020096
cpu,27623.973640,27623.974590,22020096
cpu,27623.974590,27623.975564,22020096
cpu,27623.975564,27623.976530,22020096
cpu,27623.976530,27623.977496,22020096
cpu,27623.977496,27623.978451,22020096
cpu,27623.978451,27623.979403,22020096
cpu,27623.979403,27623.980379,22020096
cpu,27623.980379,27623.981350,22020096
cpu,27623.981351,27623.982303,22020096
cpu,27623.982304,27623.983266,22020096
cpu,27623.983266,27623.984235,22020096
cpu,27623.984235,27623.985193,22020096
cpu,27623.985193,27623.986144,22020096
cpu,27623.986144,27623.987098,22020096
cpu,27623.987099,27623.988098,22020096
cpu,27623.988099,27623.989081,22020096
cpu,27623.989081,27623.990085,22020096
cpu,27623.990085,27623.991074,22020096
cpu,27623.991075,27623.992108,22020096
cpu,27623.992108,27623.993061,22020096
cpu,27623.993061,27623.994027,22020096
cpu,27623.994027,27623.994990,22020096
cpu,27623.994990,27623.995949,22020096
cpu,27623.995949,27623.996915,22020096
cpu,27623.996915,27623.997874,22020096
cpu,27623.997874,27623.998835,22020096
cpu,27623.998836,27623.999792,22020096
cpu,27623.999792,27624.000770,22020096
cpu,27624.000771,27624.001723,22020096
cpu,27624.001723,27624.002685,22020096
cpu,27624.002685,27624.003637,22020096
cpu,27624.003637,27624.004605,22020096
cpu,27624.004606,27624.005562,22020096
cpu,27624.005562,27624.006519,22020096
cpu,27624.006519,27624.007484,22020096
cpu,27624.007484,27624.008449,22020096
cpu,27624.008449,27624.009405,22020096
cpu,27624.009413,27624.010365,22020096
cpu,27624.010365,27624.011340,22020096
cpu,27624.011341,27624.012316,22020096
cpu,27624.012316,27624.013274,22020096
cpu,27624.013274,27624.014236,22020096
cpu,27624.014236,27624.015194,22020096
cpu,27624.015195,27624.016164,22020096
cpu,27624.016164,27624.017119,22020096
cpu,27624.017120,27624.018079,22020096
cpu,27624.018079,27624.019036,22020096
cpu,27624.019036,27624.019989,22020096
cpu,27624.019990,27624.020964,22020096
cpu,27624.020964,27624.021918,22020096
cpu,27624.021918,27624.022920,22020096
cpu,27624.022920,27624.023881,22020096
cpu,27624.023881,27624.024873,22020096
cpu,27624.024873,27624.025838,22020096
cpu,27624.025838,27624.026792,22020096
cpu,27624.026792,27624.027755,22020096
cpu,27624.027756,27624.028723,22020096
cpu,27624.028723,27624.029686,22020096
cpu,27624.029686,27624.030646,22020096
cpu,27624.030646,27624.031618,22020096
cpu,27624.031618,27624.032582,22020096
cpu,27624.032582,27624.033530,22020096
cpu,27624.033530,27624.034516,22020096
cpu,27624.034516,27624.035528,22020096
cpu,27624.035528,27624.036518,22020096
cpu,27624.036518,27624.037507,22020096
cpu,27624.037507,27624.038534,22020096
cpu,27624.038534,27624.039495,22020096
cpu,27624.039495,27624.040461,22020096
cpu,27624.040461,27624.041434,22020096
cpu,27624.041434,27624.042392,22020096
cpu,27624.042392,27624.043351,22020096
cpu,27624.043351,27624.044332,22020096
cpu,27624.044333,27624.045287,22020096
cpu,27624.045287,27624.046251,22020096
cpu,27624.046252,27624.047203,22020096
cpu,27624.047204,27624.048171,22020096
cpu,27624.048171,27624.049126,22020096
cpu,27624.049126,27624.050081,22020096
cpu,27624.050081,27624.051038,22020096
cpu,27624.051038,27624.052012,22020096
cpu,27624.052013,27624.052973,22020096
cpu,27624.052973,27624.053930,22020096
cpu,27624.053930,27624.054879,22020096
cpu,27624.054879,27624.055850,22020096
cpu,27624.055850,27624.056818,22020096
cpu,27624.056818,27624.057776,22020096
