t,pswpin,pswpout,pgmajfault,memavail_kb,swapfree_kb,bmoe_pid,bmoe_minflt,bmoe_majflt,bmoe_cpu_ticks,thermal_status,cap0,cap6
1789633662,194391938,291496452,202667864,6401668,8941432,,,,,2,1747200,1651200
1789633667,194392328,291496452,202668260,6401100,8943340,,,,,2,1747200,1651200
1789633672,194392617,291496452,202668558,6394308,8944508,,,,,2,1747200,1651200
1789633677,194393155,291496452,202669103,6388988,8946904,,,,,2,1747200,1651200
1789633682,194394973,291496452,202670968,6379208,8955132,,,,,2,1747200,1651200
1789633687,194430790,291496452,202709005,6010400,9090820,,,,,1,1900800,1651200
1789633693,194447971,291496452,202726316,5971256,9188576,,,,,1,1900800,1651200
1789633698,194451608,291500252,202729996,5974580,9189760,,,,,1,1900800,1651200
1789633703,194452363,291501838,202730764,5978240,9185920,,,,,1,1900800,1651200
1789633708,194453916,291501838,202733255,5986092,9196836,,,,,1,1900800,1651200
1789633713,194454284,291501838,202733628,5994604,9198372,,,,,1,1900800,1651200
1789633718,194454509,291501838,202733855,5997792,9199244,,,,,1,1900800,1651200
1789633723,194456487,291506050,202735909,5998548,9190284,,,,,1,1900800,1651200
1789633728,194474485,291506050,202754031,5937976,9275420,,,,,1,1900800,1651200
1789633734,194476629,291506050,202756191,5927816,9286104,,,,,1,1900800,1651200
1789633739,194477044,291508597,202756612,5937808,9277400,,,,,1,1900800,1651200
1789633744,194487315,291512665,202767035,5897924,9315944,,,,,1,1900800,1651200
1789633749,194495255,291512665,202775279,5871568,9349184,,,,,1,1900800,1651200
1789633754,194495917,291513993,202775941,5868272,9346384,,,,,1,1900800,1651200
1789633759,194496839,291515388,202776889,5877716,9344652,,,,,1,1900800,1651200
1789633764,194501395,291519760,202781493,5892376,9346376,,,,,1,1900800,1651200
1789633769,194501798,291522708,202781900,5906124,9336136,,,,,1,1900800,1651200
1789633775,194502860,291522708,202782986,5903628,9340504,,,,,1,1900800,1651200
1789633780,194503080,291526983,202783207,5910312,9323976,,,,,1,1900800,1651200
1789633785,194504243,291527516,202784379,5903664,9328428,,,,,1,1900800,1651200
1789633790,194504388,291529133,202784526,5909704,9322804,,,,,1,1900800,1651200
1789633795,194504617,291529133,202784755,5909088,9323572,,,,,1,1900800,1651200
1789633800,194509889,291530186,202790122,5851212,9339972,,,,,1,1900800,1651200
1789633805,194512719,291530186,202793042,5831932,9352676,,,,,1,1900800,1651200
1789633810,194513014,291530186,202793369,5828620,9354004,,,,,1,1900800,1651200
1789633816,194513465,291534368,202793835,5836720,9339168,,,,,1,1900800,1651200
1789633821,194513904,291534368,202794274,5834916,9341328,,,,,1,1900800,1651200
1789633826,194514242,291534368,202794613,5833172,9342628,,,,,1,1900800,1651200
1789633831,194515595,291535521,202796002,5837752,9343668,,,,,1,1900800,1651200
1789633836,194516371,291535521,202796816,5835516,9346752,,,,,1,1900800,1651200
1789633841,194519181,291536631,202799822,5826688,9353408,,,,,1,1900800,1651200
1789633846,194519325,291536631,202799967,5822640,9353920,,,,,1,1900800,1651200
1789633852,194519573,291536631,202800221,5821976,9355332,,,,,1,1900800,1651200
1789633857,194520843,291536631,202801526,5814420,9360204,,,,,1,1900800,1651200
1789633862,194522602,291536631,202803302,5798616,9367520,,,,,1,1900800,1651200
1789633867,194522841,291538290,202803541,5794744,9361632,,,,,1,1900800,1651200
1789633872,194523341,291538290,202804042,5791492,9363936,,,,,1,1900800,1651200
1789633877,194523476,291539316,202804181,5853672,9360216,,,,,1,1900800,1651200
1789633882,194524227,291539316,202804948,5857876,9363496,,,,,1,1900800,1651200
1789633888,194524354,291541334,202805075,5872592,9355816,,,,,1,1900800,1651200
1789633893,194525316,291541334,202806059,5869404,9359960,,,,,1,1900800,1651200
1789633898,194527806,291541334,202808679,5854892,9369976,,,,,1,1900800,1651200
1789633903,194528020,291541334,202808897,5849624,9371000,,,,,1,1900800,1651200
